,datetime,post,retweets,favorites
0,2021-10-14 23:57:17,"RT @TheAlphaThought: Make your life easier. 

Buy companies that lead in their respective industries.

$AAPL
$MSFT
$AMZN
$SBUX
$JNJ
$MMM

A…",32,0
1,2021-10-14 23:56:49,"$AMZN held on by a thread but after confirming demand she sprang off for $66 move out of the lows of support.

Ther… https://t.co/cOhordPJI2",1,2
2,2021-10-14 23:54:59,"$AMZN Double Bottom. $SPY green today, yet AMZN fairly neutral. PT: 3315.85 breakout. #fridaylotto https://t.co/kAgI9Nl70G",0,0
3,2021-10-14 23:54:46,"RT @TheAlphaThought: Make your life easier. 

Buy companies that lead in their respective industries.

$AAPL
$MSFT
$AMZN
$SBUX
$JNJ
$MMM

A…",32,0
4,2021-10-14 23:54:32,"$BTC $ETH $LINK $XTZ $ADA $VET $KNC $SXP $TWTR $ES $JD $BABA $BIDU $TME 
$SPY $QQQ $DIS $TSLA $SHOP
$AMD $AAPL $SQ… https://t.co/2nHDAmi29L",0,0
5,2021-10-14 23:54:20,"Best stock trade Group out there! 
Free chatroom link below!

$AMZN $JPM $JD $QQQ $ATH $CCL $AMD $AAPL $MSFY $BA… https://t.co/sZP3QMK806",0,0
6,2021-10-14 23:52:45,"RT @NancyTracker: Returns, Last 10 Years:
Pelosi Capital: +2,420,029%
Bitcoin $BTC: +1,407,307%
Tesla $TSLA: +14,422%
NVIDIA $NVDA: +5,782%…",2301,0
7,2021-10-14 23:52:07,"RT @firestone_brian: I Bought Deep In The Money Calls. Up 160% Fast Down 100% Forever. They Call Me Fast Lane B. 
$aapl $amzn $abbv $brk $b…",1,0
8,2021-10-14 23:50:16,"I Bought Deep In The Money Calls. Up 160% Fast Down 100% Forever. They Call Me Fast Lane B. 
$aapl $amzn $abbv $brk… https://t.co/5sVNb4Vjd0",1,0
9,2021-10-14 23:48:31,"$SHIB BOTTOM GEM. 

$SPY $TSLA $SHOP  $AMZN $NVDA $ROKU $EBAY $AMD $BB $DAL $DOW $QQQ $ZNGA $AAPL $ESE $SPCE $FCEL… https://t.co/LV9WEF6xUB",0,0
10,2021-10-14 23:47:47,"🚨 $TSLA Price upgrade!  Wall Street catching up. Looking forward to tomorrow already!

$SQ $COIN $NFLX $AMZN $LULU… https://t.co/b6vFNJthTS",0,1
11,2021-10-14 23:45:00,"RT @LimitlessT1: $AAPL Trade Idea
 
Entry: 144
Strike: 10/22 145c 
Targets: 146, 148
Support: 142, 140, 138
 
$AAPL $TSLA $AMZN $SHOP $NVDA…",6,0
12,2021-10-14 23:44:45,"RT @LimitlessT1: $AMD Trade Idea
 
Entry: 112
Strike: 10/22 113c 
Targets: 113.25, 116, 118
Support: 110, 109, 107
 
$AAPL $TSLA $AMZN $SHO…",5,0
13,2021-10-14 23:38:39,"Have a great weekend! Just a reminder, the market is closed on Monday due to MLK day! See you Tuesday!

$AMZN $AAPL… https://t.co/fshHG62P4i",0,0
14,2021-10-14 23:38:07,"For more details on what happened today on Wall Street, download our app and view the full article “Wall Street Sup… https://t.co/6V2R0WGXYg",0,0
15,2021-10-14 23:37:51,"Excited for the start Tomorrow!! So many great setups 📈
🎯Learn how to trade the right way 

$AMZN $AAPL $BA $BABA… https://t.co/6TR7A7a0k0",0,1
16,2021-10-14 23:37:14,"Most Profitable trading community 
Join our discord group 

$SPY $TSLA $NIO $EYES $QQQ $UVXY $ES  $FB $BA $GME… https://t.co/6gOnMWwWPi",0,0
17,2021-10-14 23:35:38,"Stock Gains &amp; Losses Are Transitory With New Money.
$aapl $amzn $abbv $brk $ba $bhc $crm $cmg $hlf $iep $ibm $msft… https://t.co/fwDLiIre7l",0,0
