,datetime,post,retweets,favorites
0,2021-10-29 23:58:33,"RT @InvestorVenture: $DATS Information

6 Month Lockup Period is in effect until 02/09/2022

Quiet Period Ended 09/22/2021

Really interest…",5,0
1,2021-10-29 23:47:57,"@TommyThornton @jessefelder Except in this casino, roulette tables keep landing on #stocks @ all time highs … $TSLA $GOOG $NFLX $MSFT",2,1
2,2021-10-29 23:46:26,$NQ_f Which comes first? Comment with your thesis. $aapl $tsla $amzn $msft $fb $jpm $goog $csco $ba $jpm $nflx $gs… https://t.co/3ioos4WN2b,2,1
3,2021-10-29 23:45:16,$ES_F Which comes first? Comment with your thesis. $aapl $tsla $amzn $msft $fb $jpm $goog $csco $ba $jpm $nflx $gs… https://t.co/4YA9E75RiB,0,0
4,2021-10-29 23:34:23,"Top 10 Holdings @ end of October:

1. $AMZN 7.3%
2. #ABF 6.9%
3. $GOOG 6.4%
4. $LYV 6.0%
5. $MSFT 5.4%
6. $UNUM 5.1… https://t.co/672FpNngwg",0,1
5,2021-10-29 23:34:00,"You can find out almost anything by a simple Google search. Stop saying you didn't know. $GOOG

(Googling is an underappreciated talent)",0,2
6,2021-10-29 23:32:28,"RT @extremesb: “Using the #data to direct their spend” ⁦@WPP⁩ $WPP CEO

The real-time data capture will be worth $$$ to advertisers and $VS…",3,0
7,2021-10-29 23:29:37,@LeviathanCapit1 $FB and $GOOG?,0,1
8,2021-10-29 23:21:01,Here’s a Tech Small-Cap That Can Compete With Big Tech $SONO $GOOG $LOGI $GRMN $AAPL https://t.co/txXNvIPu7E,0,1
9,2021-10-29 23:06:26,"RT @InvestorVenture: $DATS Information

6 Month Lockup Period is in effect until 02/09/2022

Quiet Period Ended 09/22/2021

Really interest…",5,0
10,2021-10-29 23:05:33,"WL results 10/29:
$NVDA high 257.10 from 252 🔥
$MRVL high 68.88
$GOOG high 2971 from 2938
$AFRM high 165.83
$UPST l… https://t.co/W57OkpW2iu",0,0
11,2021-10-29 23:03:08,RT @extremesb: Just look at the title… “Tech Giants Battling” over the consumer…..any wonder $BUD $ABI are at the table… bring on $COKE $KO…,4,0
12,2021-10-29 23:00:47,Just look at the title… “Tech Giants Battling” over the consumer…..any wonder $BUD $ABI are at the table… bring on… https://t.co/s6mQ759wyR,4,41
13,2021-10-29 23:00:03,"【GAFAM】
📱 $GOOG 2965.41 (+1.47%)
🛒 $AMZN 3372.43 (-2.15%)
📘 $FB 323.57 (+2.10%)
🍎 $AAPL 149.80 (-1.82%)
🖥 $MSFT 331… https://t.co/ZXvmCe4odV",0,0
14,2021-10-29 22:52:14,"“Using the #data to direct their spend” ⁦@WPP⁩ $WPP CEO

The real-time data capture will be worth $$$ to advertiser… https://t.co/1Gvm4PjMQa",3,38
15,2021-10-29 22:47:53,"10/29 Team Winners 
Friday Lotto plays 
 $SHOP 200+%
$GOOG 240%
 $AMZN 800 %
$TSLA 300+ % https://t.co/mHug6N1ptK",1,1
16,2021-10-29 22:47:28,"$AMZN and $GOOG fighting w/ the upstart OTT viewing aggregator. Giants seem keen to battle now. Why?

Next Q: Who w… https://t.co/gRyM8GOXUG",0,1
17,2021-10-29 22:46:00,India's Reliance Jio to launch Google smartphone for about $87 $GOOG https://t.co/qpQS8XMQwD,0,0
18,2021-10-29 22:38:00,EU countries aiming for common position on tech rules on Nov. 25 $AAPL $GOOG https://t.co/DGg5xpn2kO,0,0
19,2021-10-29 22:35:06,"RT @atomicBTC: [Global Service Top 10]
(글로벌 서비스 Top 10)
$MSFT $APPL $SR $GOOG $AMZN $BTC $TSLA $MVRS $BRKA $NVDA https://t.co/QzAL3G9QVN",18,0
20,2021-10-29 22:32:17,"$GOOG If you pay too much attention to short term, you will most certainly lose out on long term wealth. Xceptional… https://t.co/lt1xktnPbY",0,0
21,2021-10-29 22:31:25,"If you don’t own these 3 stocks, it has not been easy to beat indexes in 2021. $tsla $msft $goog https://t.co/dP33HSTK0I",4,9
22,2021-10-29 22:30:00,"Today's Top Bearish Flow... 🐻

$TSLA $GOOG $MSFT $MSTR $AAPL $RACE

👉https://t.co/2s8fBQeg5O

#options #stockmarket… https://t.co/xMIgOMZX43",0,0
23,2021-10-29 22:29:34,"Currents:
$NVDA
$COIN
$GOOG
$MSFT https://t.co/tbMvHZBBQb",0,1
24,2021-10-29 22:28:58,Both $MSFT (I'm long) and $GOOGL should be long term hold. My buy rule says wait 3 days after earnings to buy share… https://t.co/IoPGGoUKNj,0,1
25,2021-10-29 22:24:42,"RT @ItsMyCapital: Holding 2 $Tsla calls for the coming week
$TSLA $CRWD $ETSY $SQ $MSFT $ZM $BABA $BYND $SPY $AMZN $AAPL $BA $AMD $ROKU $FB…",1,0
26,2021-10-29 22:24:11,"El Club del Billon y su Forward P/E.
Siguientes 4 trimestres por  @ValueLine

$AAPL 24,9 
$MSFT 37,5
$GOOG  28,7… https://t.co/AFKzxy46Fw",3,5
27,2021-10-29 22:21:36,"Holding 2 $Tsla calls for the coming week
$TSLA $CRWD $ETSY $SQ $MSFT $ZM $BABA $BYND $SPY $AMZN $AAPL $BA $AMD… https://t.co/1fTPc6Gk6v",1,2
28,2021-10-29 22:20:08,"RT @WillyLi19: It won’t take $NIO this long to reach a $1 trillion Market Capitalization:

It took $TSLA 18 years
It took $GOOG 21 years
It…",24,0
29,2021-10-29 22:10:03,@LiviamCapital It is not binary. Since $GOOG developed their TPUs they have more than tripled their purchases of GP… https://t.co/EK44ACcqGn,0,3
30,2021-10-29 22:02:46,"RT @trading_pof: Here are some of our recent stats on P&amp;L and win %, the value here is unreal! 

Join us at https://t.co/quCDPm3lFM and enj…",2,0
31,2021-10-29 22:02:34,"RT @atomicBTC: [Global Service Top 10]
(글로벌 서비스 Top 10)
$MSFT $APPL $SR $GOOG $AMZN $BTC $TSLA $MVRS $BRKA $NVDA https://t.co/QzAL3G9QVN",18,0
32,2021-10-29 21:58:56,"@APompliano 1/2 the SP500 
$AAPL $AMZN $MSFT $GOOG $TSLA $FB

Why is it a surprise that it’s at all time high?",0,1
33,2021-10-29 21:50:11,"Barry Investment Advisors LLC,has filed Form 13F for Q3 2021.Opened NEW positions in $AEP $GOOG $GOOGL $MCK $MO… https://t.co/j4UmXsa8Gh",0,0
34,2021-10-29 21:49:29,"RT @otc_to: $MSFT Microsoft looks like is $2 away from a PPS of $334 to yield a total market cap of $2.5T+...

$GOOG $NVDA $AAPL $BB $TSLA…",1,0
35,2021-10-29 21:45:13,"@moneywithcarter $HBAR just wait and see...$0.00001 fee, 10,000TPS, Asynchronous byzantine fault tolerance (ABFT),… https://t.co/ca5CWDVujc",0,10
36,2021-10-29 21:43:24,"$MSFT Microsoft looks like is $2 away from a PPS of $334 to yield a total market cap of $2.5T+...

$GOOG $NVDA $AAPL $BB $TSLA $NIO",1,1
37,2021-10-29 21:40:56,"In today's recap, I go over $AMZN and $AAPL earnings and a new all-time high in the market

https://t.co/5EnYNmeDWo… https://t.co/kIjracBJBL",0,0
38,2021-10-29 21:32:18,"RT @trading_pof: Here are some of our recent stats on P&amp;L and win %, the value here is unreal! 

Join us at https://t.co/quCDPm3lFM and enj…",2,0
39,2021-10-29 21:31:10,"Here are some of our recent stats on P&amp;L and win %, the value here is unreal! 

Join us at https://t.co/quCDPm3lFM… https://t.co/1TtXR9BrX7",2,2
40,2021-10-29 21:29:51,"👨🏼‍💻 $GOOG, $GOOGL rallied to new highs this week following the Google parent company's impressive third-quarter ea… https://t.co/ecE2B4lyNs",0,1
41,2021-10-29 21:25:12,We already live in a world where a significant portion of corporate-level compute is happening in the cloud (via… https://t.co/lNS49zrtRR,0,0
42,2021-10-29 21:23:06,"$NLST Come on $GOOG gimme that 5,000% return. I had the foresight to see this 10 month's ago, I deserve it!! Gimme… https://t.co/g3iGTrxeEX",0,1
43,2021-10-29 21:19:55,"RT @bourbonbuddy1: Ok, I've reduced $TSLA from all in to a normal size position and added $FB $NVDA $SHOP $SPOT $GOOG",2,0
44,2021-10-29 21:19:40,"RT @WillyLi19: It won’t take $NIO this long to reach a $1 trillion Market Capitalization:

It took $TSLA 18 years
It took $GOOG 21 years
It…",24,0
45,2021-10-29 21:15:12,EQPL EDITION // 5G   / A Streaming Mag /   QUANTUMSCAPE /  Solid State Batteries / Lab Bound With A Lot of Promise… https://t.co/4u979P2Aql,1,1
46,2021-10-29 21:13:09,"This could mean, that in spite of the narrative that IDFA changes are transitory, they could have medium-term ramif… https://t.co/lgzYbkqqwl",0,0
47,2021-10-29 21:13:07,"RT @WillyLi19: It won’t take $NIO this long to reach a $1 trillion Market Capitalization:

It took $TSLA 18 years
It took $GOOG 21 years
It…",24,0
48,2021-10-29 21:12:24,"RT @ecommerceshares: Isn’t it weird that noone’s even trying to get into search, considering how much money $GOOG makes?

Why are there 85…",274,0
49,2021-10-29 21:08:58,"RT @Benzinga: 🚨Upcoming Earnings Report - Week of October 25th 🚨

$XOM $ABEV $AAPL $SBUX $MRK $CAT $AVT $ASX $BUD $AMZN $EBAY $GM $KO $MCD…",188,0
50,2021-10-29 21:06:20,"$PYPL and $WE hurt a bit, but my heavy plays this week were $GOOG and $NUE. 

Trying to get better at letting my wi… https://t.co/DoCVuqgNKn",0,0
51,2021-10-29 21:05:36,"RT @get_delta: Apple 🍎 slumps as it fails to meet its Q3 #earnings expectations. 📉

Microsoft is now the most valuable company in the world…",2,0
52,2021-10-29 21:02:32,"@dhaval_kotecha My Top 10 = 51% of my October portfolio. YTD, the portfolio is +17.3% vs YAG.

$AMZN 7%
$MELI 7%… https://t.co/8yKPs90qay",1,9
53,2021-10-29 21:02:25,"$GOOG 2600P Exp:18-Feb-22 --  🔥 Total(Day): $25,750 
$GOOG 2840P Exp:17-Jun-22 ↓↓  🔥 Total(Day): $77,000… https://t.co/DtV4C3VXWY",0,0
54,2021-10-29 21:01:39,"~When I was novice I made a lot of mistakes then I came to know about this C0mmunity.,,https://t.co/79VjTSeqr3… https://t.co/dxKcw0c7tU",0,0
55,2021-10-29 21:01:21,$EA $SEDG $MA $V $KO $PYPL $RCL $GOOG $NKLA $DKNG $HD $ROKU $NFLX $FB  $GLD $VXX $MSFT $AMD $AAPL $SQ $AMZN  $APT… https://t.co/xbKRAnCiMF,0,0
56,2021-10-29 20:59:54,"Finished the day with $458 📈📈

$TSLA $CRWD $ETSY $SQ $MSFT $ZM $BABA $BYND $SPY $AMZN $AAPL $BA $AMD $ROKU $FB… https://t.co/1V87g0oZET",1,2
57,2021-10-29 20:57:14,"$ocgn WHO approval next week. Then Canada approval, global distribution announcement, FDA approval response to fast… https://t.co/O3x6ECe6n9",1,3
58,2021-10-29 20:51:00,Here’s a Tech Small-Cap That Can Compete With Big Tech. Why Its Stock Is a Buy. $SONO $GOOG $LOGI $GRMN $AAPL https://t.co/EiWEpypcOt,1,3
59,2021-10-29 20:49:21,"RT @jtsabag: @chadarmchair @adamscrabble Banks have been phenomenal all year: $JPM, $MS, $WFC, $BAC. Retail: $TGT, $MCD, $RVLV, $NKE, $LULU…",5,0
60,2021-10-29 20:46:28,@ETFStockReport beating  #Indices #todays #scorecard 10/29/2021 +0.54% YTD 31.51%  #stockholdings #StockMarket $DIA… https://t.co/cu32rNcWeO,0,0
61,2021-10-29 20:46:21,"RT @seeitmarket: NEW Article:  ""Which FAANG Stock Performs Best Through Year-End 2021?"" --&gt; https://t.co/6YYSLfUHOP

by @DKellerCMT  $FB $A…",5,0
62,2021-10-29 20:44:40,"Most winning trading chat!!! For a limited time, we are opening our trading chatroom to the public! 

$YANG $BMA… https://t.co/JtlohzcJqj",0,0
63,2021-10-29 20:44:19,"RT @jtsabag: @chadarmchair @adamscrabble Banks have been phenomenal all year: $JPM, $MS, $WFC, $BAC. Retail: $TGT, $MCD, $RVLV, $NKE, $LULU…",5,0
64,2021-10-29 20:42:37,"RT @jtsabag: @chadarmchair @adamscrabble Banks have been phenomenal all year: $JPM, $MS, $WFC, $BAC. Retail: $TGT, $MCD, $RVLV, $NKE, $LULU…",5,0
65,2021-10-29 20:40:17,"Monday's #watchlist for #NYSE, #NASDAQ $500+: $ADBE $GOOG $GOOGL $NFLX $TMO",0,0
66,2021-10-29 20:39:58,"Get instant updates and free trials join here 

$AMC $GME $NOK  $SPY $RH $BB $RKT $AAPL $AAL $NAKD $SOL $DAL $M… https://t.co/PhnikAvrMT",0,0
67,2021-10-29 20:39:42,"RT @InvestorVenture: $DATS Information

6 Month Lockup Period is in effect until 02/09/2022

Quiet Period Ended 09/22/2021

Really interest…",5,0
68,2021-10-29 20:38:27,"@chadarmchair @adamscrabble Banks have been phenomenal all year: $JPM, $MS, $WFC, $BAC. Retail: $TGT, $MCD, $RVLV,… https://t.co/ua3TAGfvdF",5,8
69,2021-10-29 20:35:27,"RT @EconomyApp: We can call them MAGMA now.

Which is appropriate since they are firing on all cylinders.

$MSFT $AMZN $GOOG $MVRS $AAPL ht…",17,0
70,2021-10-29 20:32:40,"RT @InvestorVenture: $DATS Information

6 Month Lockup Period is in effect until 02/09/2022

Quiet Period Ended 09/22/2021

Really interest…",5,0
71,2021-10-29 20:31:51,"RT @siyul: I see the play here: $Roku to be the 1st having either a love or hate relationship with all 5 #FAANG 

$FB: we are joining Meta…",1,0
72,2021-10-29 20:28:07,#btc $AAPL $ROKU $SNAP $NVDA $UPS $ETSY $AMZN $UPST $HD $COST $ABNB $TTD $AMD $SHOP $MSFT $AFRM $TWLO $SNOW $FSLY… https://t.co/CSsPOYspMp,0,0
73,2021-10-29 20:26:40,End of Oct portfolio Update. I cleaned up a few positions and moved them into index funds I don't track on here...… https://t.co/tSjdFmvNOD,0,1
74,2021-10-29 20:25:21,"@JonahLupton @ayeshatariq $GOOG 

They’re developing so many strategic pieces.. the growth happens when they connect them all..",0,1
