,datetime,post,retweets,favorites
0,2021-11-09 23:59:32,"It's Aldi, City Farmer's Market &amp; Lidil For Me 

$aapl $amzn $abbv $brk $ba $bhc $crm $cmg $hlf $iep $msft $ms $gs… https://t.co/97kSI59TvW",1,0
1,2021-11-09 23:55:41,"11/10 Focus List🧑🏼‍💻

$NFLX 650-660 range today
$ORCL trying to hold 94 support
$ROKU upside gap, trying to hold su… https://t.co/XqgBwgAIcu",0,0
2,2021-11-09 23:51:54,$NFLX recently replacing $PYPL in the top ten weighted $QQQ holdings. https://t.co/1OvyjRnkdA,1,3
3,2021-11-09 23:51:29,"Meeting of the FAANGM (no $NFLX, just need to leave that letter in for reading purposes..) Tickers today as the Top… https://t.co/Dc1AhOFLBu",0,0
4,2021-11-09 23:50:00,Join us Wednesday morning for our Pre-market Analysis &amp; live stream via YouTube. 8-9:30am ET Breakdown of macro/mic… https://t.co/lHyM2LRBhQ,0,2
5,2021-11-09 23:45:15,RT @MarketRebels: $NFLX Squid Game creator says a second season is happening,28,0
6,2021-11-09 23:44:58,"If You Wanna Ensure You Eat Right Eat At Home.
$aapl $amzn $abbv $brk $ba $bhc $crm $cmg $hlf $iep $msft $ms $gs… https://t.co/5fyuSenAB9",0,0
7,2021-11-09 23:42:21,RT @MarketRebels: $NFLX Squid Game creator says a second season is happening,28,0
8,2021-11-09 23:40:42,"@richard_chu97 If subscription was $10-15, ala $NFLX, I would agree. I'm not sure many will pay $40 for $PTON and $40 for a gym.",0,1
9,2021-11-09 23:40:01,"✅ $NFLX: ""Netflix"" mentioned during On24 earnings event https://t.co/K2BP3NMG3p",0,0
10,2021-11-09 23:39:40,RT @MarketRebels: $NFLX Squid Game creator says a second season is happening,28,0
11,2021-11-09 23:39:00,"RT @charliebilello: Returns, Last 10 Years..
Bitcoin $BTC: +2,092,923%
Tesla $TSLA: +18,725%
NVIDIA $NVDA: +8,742%
Netflix $NFLX: +4,798%
D…",1495,0
12,2021-11-09 23:38:50,"RT @edwardnh: My new acronym: FANTA MAN
$FB, $AAPL, $NFLX, $TSLA, $GOOGL, $MSFT, $AMZN, $NVDA",36,0
13,2021-11-09 23:38:48,"RT @Krypto_Venom: STILL EARLY
$XYO Welcome to the Geospatial Metaverse
XYO best project around 🚀 shib for XYO 🚀 
MUST READ!!
$SPY $NDX $DIA…",14,0
14,2021-11-09 23:38:43,RT @MarketRebels: $NFLX Squid Game creator says a second season is happening,28,0
