,datetime,post,retweets,favorites
0,2021-10-22 23:59:38,What the fuck with $AMZN ?. It is value didn’t change since 1 year.,0,0
1,2021-10-22 23:59:05,"Antigone Defeats Merkel 2015
https://t.co/vp9rNje0qp

@Moutapam @EuropeanCommiss @CNBCnow 
@steveliesman @WSJ… https://t.co/zraTRLvm1s",0,0
2,2021-10-22 23:58:09,RT @MissTrade: Advertising takes is on chin $SNAP $GOOG $FB $TWTR $INTC $AMZN $SHOP all slaughtered today $ZB_F Rallies @hfrfromthefloor lo…,1,0
3,2021-10-22 23:57:18,RT @EliteOptions2: There’s no need to overcomplicate your strategy... Let the trades come to you. We should see some great opportunities ov…,12,0
4,2021-10-22 23:57:00,"RT @dividendc2: Mis TOP5 mejores compañías largo plazo
FOSO DEFENSIVO
$AMZN $JNJ $GOOGL $BRK.A $PG
1.- Amazon .com
2.- Johnson &amp; Johnson
3.…",14,0
5,2021-10-22 23:56:23,"RT @BullishJason: October 18th - October 22nd Results 🎯

Very good week as we were able to play both sides of the market and secured profit…",2,0
6,2021-10-22 23:55:32,"RT @dissectmarkets: $AMZN is now a bigger delivery company than $FDX.

And it’s about to overtake $UPS. https://t.co/JWEzoECChD",5,0
7,2021-10-22 23:55:19,"@TheWallStJunky Next week's earnings...

🐕 in the fight:
$GOOGL $FB $MSFT $AMZN $V  

Interested list:
$AMD $CDNS",0,1
8,2021-10-22 23:54:53,"RT @vincent13031925: Total time to reach $900 billion market cap:

$TSLA:      18 years, 3 months

$GOOG:    21 years, 2 months

$AMZN:…",348,0
9,2021-10-22 23:54:02,"Big dog’s reporting next week. $FB, $MSFT, $AAPL, $AMZN https://t.co/HFFWJRWQcQ",1,0
10,2021-10-22 23:53:39,$AMZN Morning Flush https://t.co/O9QgdMB8FM,0,0
11,2021-10-22 23:53:19,"RT @vincent13031925: Total time to reach $900 billion market cap:

$TSLA:      18 years, 3 months

$GOOG:    21 years, 2 months

$AMZN:…",348,0
12,2021-10-22 23:53:12,"RT @SexiestInvestor: Once $BLOCKS comes out, $HMBL is going to drop some of the biggest PRs of the century. The biggest news since $AMZN di…",12,0
13,2021-10-22 23:50:24,"RT @dissectmarkets: $AMZN is now a bigger delivery company than $FDX.

And it’s about to overtake $UPS. https://t.co/JWEzoECChD",5,0
14,2021-10-22 23:49:36,"RT @StockMKTNewz: Early look at the largest stocks that report earnings next week

Apple $AAPL
Microsoft $MSFT
Google $GOOGL
Amazon $AMZN
F…",21,0
15,2021-10-22 23:48:07,"RT @StockMKTNewz: Early look at the largest stocks that report earnings next week

Apple $AAPL
Microsoft $MSFT
Google $GOOGL
Amazon $AMZN
F…",21,0
16,2021-10-22 23:42:41,"Do want some new contracts?

$TSLA $AMZN $SNAP $MSFT $SPY $GOOGL $F $NFLX $PYPL $ROKU $QQQ $TWTR $XPEV $NIO $BA",0,0
17,2021-10-22 23:42:35,"RT @TSLAFanMtl: Comparing $TSLA's market cap to legacy auto market cap is equivalent to comparing $AMZN to Sears in 2001.

Legacy auto is i…",22,0
18,2021-10-22 23:42:16,"RT @NancyTracker: Returns, Last 10 Years..
Pelosi Capital: +69,420%
Bitcoin $BTC: +2,808,411%
Tesla $TSLA: +15,646%
NVIDIA $NVDA: +6,641%
N…",489,0
19,2021-10-22 23:41:28,"RT @StockMKTNewz: Early look at the largest stocks that report earnings next week

Apple $AAPL
Microsoft $MSFT
Google $GOOGL
Amazon $AMZN
F…",21,0
20,2021-10-22 23:40:55,Will we get that $RDW + $AMZN PR next week? 😉,0,7
21,2021-10-22 23:40:51,"RT @StockMKTNewz: Early look at the largest stocks that report earnings next week

Apple $AAPL
Microsoft $MSFT
Google $GOOGL
Amazon $AMZN
F…",21,0
22,2021-10-22 23:40:40,RT @currtism22: . @kevinolearytv says “most” of the S&amp;P500 brands are getting profiles on https://t.co/K7TEsdrx4V. All fueled by $hbar. Fac…,79,0
23,2021-10-22 23:40:16,"RT @StockMKTNewz: Early look at the largest stocks that report earnings next week

Apple $AAPL
Microsoft $MSFT
Google $GOOGL
Amazon $AMZN
F…",21,0
24,2021-10-22 23:40:12,"$INPX Look at these companies 👀 a couple names caught my eye such as:

$FB
$AMZN
$TWTR
$MSFT

Linked In
Skype https://t.co/OlkQtdmpDK",0,7
25,2021-10-22 23:39:35,"RT @vincent13031925: Total time to reach $900 billion market cap:

$TSLA:      18 years, 3 months

$GOOG:    21 years, 2 months

$AMZN:…",348,0
26,2021-10-22 23:39:07,"RT @StockMKTNewz: Early look at the largest stocks that report earnings next week

Apple $AAPL
Microsoft $MSFT
Google $GOOGL
Amazon $AMZN
F…",21,0
27,2021-10-22 23:37:53,How Robots and A.I. Are About To Change This $11 Trillion Industry Forever $AAPL $AMWL $AMZN $GOOG $MSFT https://t.co/drfiuKrcob,0,0
28,2021-10-22 23:37:39,RT @Stephanie_Link: Thanks @SquawkCNBC for a good discussion on $SNAP and $FB.  What a brutal day for the comm services group.  Next week b…,7,0
29,2021-10-22 23:37:14,"RT @vincent13031925: Total time to reach $900 billion market cap:

$TSLA:      18 years, 3 months

$GOOG:    21 years, 2 months

$AMZN:…",348,0
30,2021-10-22 23:35:40,"RT @OMillionaires: Next weeks #earnings going to be fun:

Monday: $FB
Tuesday: $MSFT $GOOGL $TWTR $AMD
Wednesday: $TWLO $BA $TDOC $F $ALGN…",18,0
31,2021-10-22 23:34:27,"RT @StockMKTNewz: Early look at the largest stocks that report earnings next week

Apple $AAPL
Microsoft $MSFT
Google $GOOGL
Amazon $AMZN
F…",21,0
32,2021-10-22 23:34:12,"RT @daarkmaagician: Gonna be a busy and interesting upcoming week. Buckle in. 
$FB $UPS $GE $JBLU $AMD $MSFT $GOOGL $V $TWTR $ENPH $QS $BA…",5,0
33,2021-10-22 23:34:01,"RT @vincent13031925: Total time to reach $900 billion market cap:

$TSLA:      18 years, 3 months

$GOOG:    21 years, 2 months

$AMZN:…",348,0
34,2021-10-22 23:32:36,"RT @CorruptCounties: Trades that cost $1 at @Vanguard cost $35 at $BK

On top of that $BK loots &amp; thieves customers over investments in Big…",2,0
35,2021-10-22 23:32:35,"RT @OMillionaires: Next weeks #earnings going to be fun:

Monday: $FB
Tuesday: $MSFT $GOOGL $TWTR $AMD
Wednesday: $TWLO $BA $TDOC $F $ALGN…",18,0
36,2021-10-22 23:31:48,"Next weeks #earnings going to be fun:

Monday: $FB
Tuesday: $MSFT $GOOGL $TWTR $AMD
Wednesday: $TWLO $BA $TDOC $F… https://t.co/Jo007pDUVt",18,117
37,2021-10-22 23:31:23,"RT @vincent13031925: Total time to reach $900 billion market cap:

$TSLA:      18 years, 3 months

$GOOG:    21 years, 2 months

$AMZN:…",348,0
38,2021-10-22 23:30:31,"$CELZ ⬇️ 7.28%  - $TSOI ⬇️ 1.68% - $BRTX ⬇️ 13.51%. Great job P-Boy Tommy, 🤡Boy Timbo, and Frankie Baby!!!  Next we… https://t.co/ZQQ6o60r77",1,0
39,2021-10-22 23:29:09,"RT @CorruptCounties: Trades that cost $1 at @Vanguard cost $35 at $BK

On top of that $BK loots &amp; thieves customers over investments in Big…",2,0
40,2021-10-22 23:29:05,"Trades that cost $1 at @Vanguard cost $35 at $BK

On top of that $BK loots &amp; thieves customers over investments in… https://t.co/i41HNPdXMn",2,0
41,2021-10-22 23:23:59,"RT @dissectmarkets: $AMZN is now a bigger delivery company than $FDX.

And it’s about to overtake $UPS. https://t.co/JWEzoECChD",5,0
42,2021-10-22 23:23:27,"Unfortunately, tho top leadership @BNYMellon are good people, they've no control over the company

$BK managers, wh… https://t.co/bUlHfIb3Ng",3,1
43,2021-10-22 23:21:46,"Gonna be a busy and interesting upcoming week. Buckle in. 
$FB $UPS $GE $JBLU $AMD $MSFT $GOOGL $V $TWTR $ENPH $QS… https://t.co/on2sJZ7eWs",5,15
44,2021-10-22 23:18:39,"RT @ValueAnalyst1: Innovation &amp; Growth:
Sell $AAPL, Buy $TSLA

Public Safety:
Sell $FB, Buy $TSLA

Total Addressable Market:
Sell $NFLX, Bu…",23,0
45,2021-10-22 23:18:37,"RT @tradingview: Top Ten Global Market Caps In USD 👇

All Cryptos Combined 2.53T
Apple $AAPL 2.46T
Microsoft $MSFT 2.31T
Saudi Aramco $2222…",75,0
46,2021-10-22 23:17:05,"Longs:
$U - 37% - Avg. $131.60
$BROS - 21% - Avg. $54.50 (missed add today)

Kicked Out: 
$SQ - 3% profit (not read… https://t.co/60E5Hyu6C5",0,0
47,2021-10-22 23:16:25,"RT @vincent13031925: Total time to reach $900 billion market cap:

$TSLA:      18 years, 3 months

$GOOG:    21 years, 2 months

$AMZN:…",348,0
