,datetime,post,retweets,favorites
0,2021-11-05 23:57:05,"RT @Krypto_Venom: $xyo best project around. Soon we are mooning. 🚀 

$SPY $NDX $DIA $FB $AAPL $AMZN $NFLX $GOOG $PLTR $TSLA $NIO $NKLA $LI…",4,0
1,2021-11-05 23:54:02,"Motely Fool has a new acronym MANAMANA
$MSFT $AAPL $NFLX $AMZN 

https://t.co/LZzIXNqEp5",0,3
2,2021-11-05 23:52:54,"$NFLX Contrary to analyst predictions, Xceptional business continues to perform well from fundamentals and technica… https://t.co/hBDJiixYXJ",0,0
3,2021-11-05 23:31:25,RT @joecarlsonshow: $GOOG is a 2 trillion mkt cap company with a 27 PE ratio. Growing in like 9 different ways. YouTube will soon pass $NFL…,8,0
4,2021-11-05 23:21:00,Option Analysis Setups: $NFLX Down ~7% This Week https://t.co/Ud4lKmZOLM,0,0
5,2021-11-05 23:19:44,"RT @Krypto_Venom: I can give you a MILLION reasons why to buy XYO
$xyo best project around for the metaverse 🚀 sell shiba

$SPY $NDX $DIA $…",5,0
6,2021-11-05 23:19:33,"RT @Krypto_Venom: I can give you a MILLION reasons why to buy XYO
$xyo best project around for the metaverse 🚀 sell shiba

$SPY $NDX $DIA $…",5,0
7,2021-11-05 23:18:43,"I can give you a MILLION reasons why to buy XYO
$xyo best project around for the metaverse 🚀 sell shiba

$SPY $NDX… https://t.co/yZPaq0fwKE",5,15
8,2021-11-05 23:15:17,@johnscharts Thanks. Also has a strong weekly candle. Actually 4th highest weekly close ever. I wonder if it’s goin… https://t.co/zSCyz7dBuC,0,0
9,2021-11-05 23:12:30,"RT @GavMson: i'm gonna have so many haters this weekend..

i think it'll be fun..

going against horsefat, job and es-leo's groupies..

can…",1,0
10,2021-11-05 23:12:28,$AMC move it to $RDBX.  Already has name recognition and revenue.  Now streaming.  And it’s on $ROKU remotes along… https://t.co/cVI0tGBrB4,0,0
11,2021-11-05 23:10:55,"Have a great weekend everyone! 🙂

Got a chart request? Comment below!💪

$NVDA $AAPL $FB $AMZN $GOOGL $NFLX $TWTR… https://t.co/4VRLBLXotd",0,0
12,2021-11-05 23:10:26,"$495,590

11-5-2021
Stocks (Day) - $MRNA $NVDA $PTON $ADBE $SAVA $SOXX $TSLA $BNTX $NVAX $AVLR $TMO $SHAK $COIN $FB… https://t.co/yiEZAXYx05",1,1
13,2021-11-05 23:08:46,Has news update coming here... Don't miss on radar!! $TSLA $AMC $RKT $BNB $WKHS $AAPL $CLOV $SOFI $FB $AAPL $NFLX… https://t.co/qcPlPEvyEz,0,0
14,2021-11-05 23:08:34,"RT @Hedge_FundGirl: All apes, HF bros, bagholders, and $NFLX and $FB shareholders really need to watch this. Happy Friday!

See this Instag…",1,0
15,2021-11-05 23:06:24,Investment #investing #stocks #stockstowatch #wallstreetbets $mmat $phun $sndl $nakd $cei $ocgn $fb $wish $fami… https://t.co/rf9KaBt8i0,0,1
16,2021-11-05 22:57:58,"i'm gonna have so many haters this weekend..

i think it'll be fun..

going against horsefat, job and es-leo's grou… https://t.co/4jwa0F02kA",1,1
17,2021-11-05 22:49:46,SweepCast alerted: $NFLX with Unusual Options Activity Alerted on $550 CALL Expiring: 03-18-2022 worth 78K🐂 |🥇 Star… https://t.co/Fix4a8y7xZ,0,1
18,2021-11-05 22:43:47,"RT @CadgerGreg: Heading into weekend trimmed $NVDA, $AMD, $BROS closed my positions in $TMO &amp; $NFLX. Added $DRI &amp; $APA. Also, bumped gold e…",1,0
19,2021-11-05 22:35:05,"➡ If you are a TRADER looking for a new tool.    
➡ Check out ⟶ https://t.co/mpCaiuy1n7

Automated Trading Strategi… https://t.co/a87aplztlx",0,1
20,2021-11-05 22:27:25,"Heading into weekend trimmed $NVDA, $AMD, $BROS closed my positions in $TMO &amp; $NFLX. Added $DRI &amp; $APA. Also, bumpe… https://t.co/lH5VgzCdYU",1,2
21,2021-11-05 22:24:57,"RT @WallStSnacks: Bull Forecasts
November 05, 2021 13:15:00 PDT
🐂🐂🐂🐂🐂
ticker : log change intraday
$SPY : -0.19
$FUBO : 0.27
$GOOGL : -0.19…",1,0
22,2021-11-05 22:24:08,"RT @TheOptionalMan: $NFLX Simple retracement off the highs from the last swing low on the daily, I then identified a demand zone from 21st…",2,0
23,2021-11-05 22:24:05,RT @ShortAlgoTrades: $NFLX Waiting for Buy signal on NFLX  with https://t.co/sjROqPnc9P https://t.co/rPz0GYGSXH,1,0
24,2021-11-05 22:24:00,"RT @FakeFan50: End of the week moves

Bearish: sold calls on $NFLX, $TSLA , $QQQ and $ROKU. Long put diagonal on $QQQ and $ROKU

Bullish: p…",1,0
25,2021-11-05 22:23:58,"RT @reciknows: [Update] $QQQ Daily. Tagged 400 and now pulling back, channel resistance here and RSI needs to cool off. Grab some $SQQQ cal…",3,0
26,2021-11-05 22:23:58,"RT @SenpaiAlerts: #LottoFriday Recap

Measured from first level trigger up to highest possible sell price for the day.

$AMD 140C 1.0 -&gt; 2.…",3,0
27,2021-11-05 22:23:54,"RT @FakeFan50: @koch_ajkoch9231 @bourbonbuddy1 $TSLA sold $1350 calls 
$NFLX sold $695 calls
$ROKU sold $305 calls bought $270 put
$QQQ sol…",1,0
28,2021-11-05 22:23:50,"RT @pennies2dollar: Ups and Downs for Friday 11/5:

Top gainers🟢
$IONQ 17.22%
$SBUX 4.24%
$UPST 3.06%

Top losers🔴
$NFLX -3.42% 
$ELMS -3.1…",1,0
29,2021-11-05 22:23:46,"RT @BullishSight: $NFLX

Downside as promised hitting $645. Had 660p under $665 that went 1.71 to a high of 14.89 for a possible 770% play.…",1,0
30,2021-11-05 22:23:44,"RT @AlternateTrader: Today 

$NVDA
$TSLA
$NFLX
$TWTR
$BIDU
$BABA

Were all down. That’s 6 out of 10 underlying stocks in $FNGU so $FNGU was…",1,0
31,2021-11-05 22:23:41,RT @FlyrUsr: $NFLX 4h https://t.co/ZQetUpB0m0,1,0
32,2021-11-05 22:23:39,"RT @DeanSheikh1: @PlugInFUD Actually, that title belonged to $NFLX at the time.  Now $NFLX looks like a value play.",1,0
33,2021-11-05 22:23:38,RT @Trading_Sunset: Netflix $NFLX settled -3.4% to $645.72. I'd note the 50dma $618s. https://t.co/DvYAaMTRDU,2,0
34,2021-11-05 22:23:37,RT @ActionTrading1: $NFLX 4Hours (Nov/4) https://t.co/Y2Ig9cLSIe,1,0
35,2021-11-05 22:23:35,RT @ActionTrading1: $NFLX 4Hours 👏👏👏👏👏👏👏 https://t.co/fhQlM4QZt6,1,0
36,2021-11-05 22:22:35,"RT @Krypto_Venom: $xyo best project around for the metaverse 🚀 sell shiba

$SPY $NDX $DIA $FB $AAPL $AMZN $NFLX $GOOG $PLTR $TSLA $NIO $NKL…",2,0
37,2021-11-05 22:22:00,"Want 50% off the Month for Our Live Newswire? Sign up here! https://t.co/8tKJXgWkEc

$SPY $VRPX $AAPL $AMZN $NFLX… https://t.co/apU53jrdnB",0,0
38,2021-11-05 22:17:30,"#stashstockparty 2020 investors.  $NFLX added a higher-than-expected 4.4M subscribers last quarter, boosted by fore… https://t.co/qM3nyjlnhC",0,1
39,2021-11-05 22:15:57,RT @StocksTooHigh: $NFLX signals from the indicator &amp; custom watchlist🙏🎯 https://t.co/VEJb7hYOqC,1,0
