,datetime,post
0,2021-10-09 23:57:05,"$AMZN, you misspelled South East Asian sweatshop produced. https://t.co/j2S3a1hxs7"
1,2021-10-09 23:54:25,RT @H2o_Investor: $SHIB is accepted as PAYMENT for services and goods!!! Business can use this and accept Shiba coins! $Doge $TSLA @elonmus…
2,2021-10-09 23:50:19,The holiday shopping catalogs are beginning to circulate. $AMZN first to send 🤔
3,2021-10-09 23:47:15,@liathetrader I feel it’s missing $amzn.
4,2021-10-09 23:44:14,"RT @charliebilello: Returns, Last 10 Years..
Bitcoin $BTC: +1,150,000%
Tesla $TSLA: +14,376%
NVIDIA $NVDA: +6,298%
Netflix $NFLX: +3,485%
D…"
5,2021-10-09 23:37:52,"The world's largest and most secure cloud mining site
Get Bonus 30% ⬇️
https://t.co/htaQf9zreG

$BTG $SC $GRT $XVS… https://t.co/kVv3juUvr1"
6,2021-10-09 23:34:57,"RT @BusinessFamous: If you had invested $1,000 in $AMZN stock in 2000

you would have sold it for $100 when it crashed -90% by 2002"
7,2021-10-09 23:31:51,"RT @BusinessFamous: If you had invested $1,000 in $AMZN stock in 2000

you would have sold it for $100 when it crashed -90% by 2002"
8,2021-10-09 23:31:24,"RT @charliebilello: Returns, Last 10 Years..
Bitcoin $BTC: +1,150,000%
Tesla $TSLA: +14,376%
NVIDIA $NVDA: +6,298%
Netflix $NFLX: +3,485%
D…"
9,2021-10-09 23:27:16,"😲

$tsla #tesla $goog $amzn $aapl $lcid $nio $f $gm $spce $xpev $li https://t.co/sWUGVgBWGZ"
10,2021-10-09 23:26:36,"$CVX Will Confirm That Reverse Merger Discussions Are Underway In Nevada
https://t.co/Mv3xmUrTi2

$TSLA $KGC $DNR… https://t.co/kQai6ugUxx"
11,2021-10-09 23:24:47,"How Tesla is Beating Everyone 

https://t.co/CTcufijFWd via @YouTube 

$tsla #tesla $goog $amzn $aapl $lcid $nio $f $gm $spce $xpev $li"
12,2021-10-09 23:22:41,RT @RoughDiamonds16: $BB $Rivian $Ford Rivian aims to make 15k a year on subscription base. $BB &amp; $AMZN COULD SEE A NICE SLICE. I LIKE HOW…
13,2021-10-09 23:19:13,"[ Last 24 Hours ]

Top Trending Stocks on #fintwit: 
1. $TSLA 🥇
2. $AFRM 🥈
3. $UPST 🥉
4. $BTC
5. $AAPL
6. $NFLX
7.… https://t.co/20q6MFtCwv"
14,2021-10-09 23:15:57,RT @DAG_Investments: Most relevant to our holdings $AMZN $GOOG (and I think people consider #FAANG to include others like $MSFT $NVDA). Per…
15,2021-10-09 23:13:05,Is Buying The Dip Still Dead? $QQQ $AAPL $AMZN $MSFT $TSLA $DIA $IWM $SPY $XLF $FB $VIX $GOOGL https://t.co/aPH1Dgzz0q
16,2021-10-09 23:12:18,"22/ Future Growth Estimates (h/t @Marlin_Capital)

CS had a $26.5B GMV est in '24 for $AFRM without $AMZN GMV.… https://t.co/6je2Baarqk"
