,datetime,post
0,2021-10-07 23:59:22,"10/8 Watchlist 

$MSFT over $296.7 - 10/15 $300c
$GOOGL over $2800 - $2810c
$AMZN over $3320 - 10/15 $3400c
$SNOW o… https://t.co/g9IoWEucEW"
1,2021-10-07 23:58:38,"See our daily stock market analysis video here: https://t.co/EIczI3aRCe

$BB $TLRY $WISH $CLOV $UVXY $FUBO $WKHS… https://t.co/pTFeXOR50Y"
2,2021-10-07 23:58:36,Had to break one of my trading rules but not by own accord. Was trading on plane and internet went out at 345 looks… https://t.co/9PO6oFN6ut
3,2021-10-07 23:57:53,"RT @eWhispers: Confirmed #earnings for October 

https://t.co/lObOE0dgsr 

$AAPL $JPM $TSM $FB $NFLX $SNAP $CLF $BAC $DAL $SQ $PFE $BLK $WF…"
4,2021-10-07 23:57:36,"Does $AMZN make it to 4,000 in 2022 (with no stock split. An organic move to 4,000)"
5,2021-10-07 23:55:49,"RT @7Innovator: This is another one of those interviews that I *really* enjoyed.

Chris has such a detailed understanding of the gaming ind…"
6,2021-10-07 23:55:26,"RT @charliebilello: Returns, Last 10 Years..
Bitcoin $BTC: +1,150,000%
Tesla $TSLA: +14,376%
NVIDIA $NVDA: +6,298%
Netflix $NFLX: +3,485%
D…"
7,2021-10-07 23:54:45,"Profit up to 80000 $DOGE Daily
Join https://t.co/cc73ucLK09

$AMC $IOST $LSK $ELON $GT $LTC $UPX $BTC $TSLA $DOGE… https://t.co/tsDIcxQArs"
8,2021-10-07 23:53:56,"Our daily trades recap. Discuss $DUST in depth, $UVXY, $SPY, $SKLZ, and $LABU

https://t.co/UyeSiFC9ZV

$BB $TLRY… https://t.co/cc1hvd5QIX"
9,2021-10-07 23:49:07,"RT @Laurent78192759: Rend.des 10 dern.années:
Bitcoin $BTC: +1,150,000%
Tesla $TSLA: +14,376%
NVIDIA $NVDA: +6,298%
Netflix $NFLX: +3,485%…"
10,2021-10-07 23:47:55,"RT @eWhispers: Confirmed #earnings for October 

https://t.co/lObOE0dgsr 

$AAPL $JPM $TSM $FB $NFLX $SNAP $CLF $BAC $DAL $SQ $PFE $BLK $WF…"
11,2021-10-07 23:40:59,"RT @BusinessFamous: If you had invested $1,000 in $AMZN stock in 2000

you would have sold it for $100 when it crashed -90% by 2002"
12,2021-10-07 23:40:15,"RT @Laurent78192759: Rend.des 10 dern.années:
Bitcoin $BTC: +1,150,000%
Tesla $TSLA: +14,376%
NVIDIA $NVDA: +6,298%
Netflix $NFLX: +3,485%…"
13,2021-10-07 23:38:51,"@blocksnbooze @Ustopcryingfool @meemodDGrt @ThetaWarrior @TrendSpider IMO, if $AMZN fails, then everything else hea… https://t.co/zF0l4uZqDQ"
14,2021-10-07 23:38:14,"Profit up to 80000 $DOGE Daily
Join https://t.co/cc73ucLK09

$AMC $IOST $LSK $ELON $GT $LTC $UPX $BTC $TSLA $DOGE… https://t.co/IViWBF1sYA"
15,2021-10-07 23:38:13,"RT @charliebilello: Returns, Last 10 Years..
Bitcoin $BTC: +1,150,000%
Tesla $TSLA: +14,376%
NVIDIA $NVDA: +6,298%
Netflix $NFLX: +3,485%
D…"
16,2021-10-07 23:37:56,"Earn up to 5 LTC #litecoin
Free Join Link: https://t.co/yPEx1wikQh
$ELON $GT $UPX $BTC $TSLA $DOGE $SHIB $XLM $LTC… https://t.co/xdWHEEYjEf"
17,2021-10-07 23:30:17,"RT @charliebilello: Returns, Last 10 Years..
Bitcoin $BTC: +1,150,000%
Tesla $TSLA: +14,376%
NVIDIA $NVDA: +6,298%
Netflix $NFLX: +3,485%
D…"
18,2021-10-07 23:27:11,@CNBC  you would this news will move $AMZN 2-5% in the after market what a wonder news ! Guess @amazon needs a 4:1… https://t.co/w466bLcRjU
19,2021-10-07 23:27:08,"RT @eWhispers: Confirmed #earnings for October 

https://t.co/lObOE0dgsr 

$AAPL $JPM $TSM $FB $NFLX $SNAP $CLF $BAC $DAL $SQ $PFE $BLK $WF…"
20,2021-10-07 23:23:50,"RT @Barrett26860313: $ENZC If u could go back &amp; buy $aapl $amzn $tsla years ago, would u? ALL DISRUPTIVE Tech that has changed the world. N…"
21,2021-10-07 23:20:34,"$ENZC If u could go back &amp; buy $aapl $amzn $tsla years ago, would u? ALL DISRUPTIVE Tech that has changed the world… https://t.co/mKrcr4y6G7"
22,2021-10-07 23:20:33,$AMZN $MSFT #cloud https://t.co/psCfs85oFQ
23,2021-10-07 23:19:48,"RT @BusinessFamous: If you had invested $1,000 in $AMZN stock in 2000

you would have sold it for $100 when it crashed -90% by 2002"
24,2021-10-07 23:18:49,"RT @eWhispers: Confirmed #earnings for October 

https://t.co/lObOE0dgsr 

$AAPL $JPM $TSM $FB $NFLX $SNAP $CLF $BAC $DAL $SQ $PFE $BLK $WF…"
25,2021-10-07 23:18:11,"RT @eWhispers: Confirmed #earnings for October 

https://t.co/lObOE0dgsr 

$AAPL $JPM $TSM $FB $NFLX $SNAP $CLF $BAC $DAL $SQ $PFE $BLK $WF…"
26,2021-10-07 23:17:31,"RT @BusinessFamous: If you had invested $1,000 in $AMZN stock in 2000

you would have sold it for $100 when it crashed -90% by 2002"
27,2021-10-07 23:13:23,@yaseeen76 $AMZN 🙈🙈  I think 95% of traders have been hit with this ticker !
28,2021-10-07 23:12:20,"Stocks Rip Then Dip On October 7, But This Time You Can't Blame The VIX $AMZN $IEF $FB $SPX https://t.co/BmKcd5X2tl"
29,2021-10-07 23:11:47,"Profit up to 80000 $DOGE Daily
Join https://t.co/ysyzXWQT7Z

$ELON $GT $UPX $BTC $TSLA $DOGE $SHIB $XLM $LTC $AAPL… https://t.co/wm4FysNkNu"
30,2021-10-07 23:10:40,"Profit up to 80000 $DOGE Daily
Join https://t.co/ysyzXWQT7Z

$AMC $IOST $LSK $ELON $GT $LTC $UPX $BTC $TSLA $DOGE… https://t.co/gHgS5JwRb7"
31,2021-10-07 23:07:21,"RT @eWhispers: Confirmed #earnings for October 

https://t.co/lObOE0dgsr 

$AAPL $JPM $TSM $FB $NFLX $SNAP $CLF $BAC $DAL $SQ $PFE $BLK $WF…"
32,2021-10-07 23:06:31,"RT @eWhispers: Confirmed #earnings for October 

https://t.co/lObOE0dgsr 

$AAPL $JPM $TSM $FB $NFLX $SNAP $CLF $BAC $DAL $SQ $PFE $BLK $WF…"
33,2021-10-07 23:05:15,"Earn up to 5 LTC #litecoin
Free Join Link: https://t.co/ZXjNi3JVYb

$AMC $IOST $LSK $ELON $GT $LTC $UPX $BTC $TSLA… https://t.co/4ZnGXNtUF3"
34,2021-10-07 23:04:04,"Earn up to 5 LTC #litecoin
Free Join Link: https://t.co/ZXjNi3JVYb
$ELON $GT $UPX $BTC $TSLA $DOGE $SHIB $XLM $LTC… https://t.co/ctkIpEFskh"
35,2021-10-07 23:02:17,"$AMZN daily update

Back over the 200EMA retesting the channel break. https://t.co/AgcC2KoMsq https://t.co/zBSIJ6oo9y"
36,2021-10-07 23:00:34,One thing I was wrong on (actually one of many) was augmented reality audio. Eg. Block out all noise on the subway… https://t.co/c4si8zA1Lp
